iter	RMSE
2050	0.0625549157
2051	0.06255219852
2052	0.06252897135
2053	0.06252350756
2054	0.06252056624
2055	0.06249478046
2056	0.06246464831
2057	0.06245238011
2058	0.06243976271
2059	0.06243675847
2060	0.06243322732
2061	0.06241382348
2062	0.06241044508
2063	0.06240133612
2064	0.06237365799
2065	0.06236284439
2066	0.06235879386
2067	0.06234219758
2068	0.06231656675
2069	0.06229634417
2070	0.06228287117
2071	0.06226170501
2072	0.06224236096
2073	0.06221968929
2074	0.06219718003
2075	0.06219059161
2076	0.06217794578
2077	0.06217448072
2078	0.06216278569
2079	0.06213712515
2080	0.06211289596
2081	0.06210174363
2082	0.06209364444
2083	0.06208112602
2084	0.06205877064
2085	0.06203310631
2086	0.06201551135
2087	0.06200753034
2088	0.06197255795
2089	0.06195487451
2090	0.06195065696
2091	0.06194120479
2092	0.06192542623
2093	0.06190872479
2094	0.06189896908
2095	0.06187566964
2096	0.06185948887
2097	0.06184216877
2098	0.06180736975
2099	0.06179279123
2100	0.06177568693
2101	0.06176327709
2102	0.06175775553
2103	0.06174357593
2104	0.06172069665
2105	0.0617047861
2106	0.0616847316
2107	0.06167314098
2108	0.06166361244
2109	0.06163506198
2110	0.06161283782
2111	0.06159482777
2112	0.06157401686
2113	0.06155450061
2114	0.06154136282
2115	0.06152007869
2116	0.0615022107
2117	0.06147978911
2118	0.06146227337
2119	0.06144007201
2120	0.06142450088
2121	0.06141275018
2122	0.06140927691
2123	0.061399561
2124	0.06138315427
2125	0.06135529286
2126	0.0613438645
2127	0.06132960545
2128	0.06130334083
2129	0.06128797209
2130	0.0612602465
2131	0.06125046998
2132	0.06122962016
2133	0.06121369508
2134	0.06119132609
2135	0.06117761075
2136	0.06116376138
2137	0.06115466901
2138	0.06112411317
2139	0.0611190511
2140	0.06110845239
2141	0.06108990916
2142	0.06106665883
2143	0.06105607268
2144	0.0610170732
2145	0.06099681316
2146	0.0609878194
2147	0.06096616578
2148	0.0609449232
2149	0.06093849698
2150	0.06092718667
2151	0.06091521171
2152	0.06088645982
2153	0.0608747578
2154	0.06084925227
2155	0.06083903448
2156	0.06081636342
2157	0.06079753833
2158	0.06077807754
2159	0.06076049861
2160	0.06075609368
2161	0.0607473948
2162	0.06073620024
2163	0.06072759787
2164	0.06072001473
2165	0.06071145235
2166	0.06070428604
2167	0.06067231538
2168	0.06066062279
2169	0.06064582645
2170	0.06061390403
2171	0.06060622343
2172	0.0605906513
2173	0.06058507765
2174	0.0605738022
2175	0.06056618637
2176	0.06054802635
2177	0.06054426617
2178	0.06053651233
2179	0.06052823544
2180	0.06050935999
2181	0.06049178472
2182	0.06047695179
2183	0.06045932191
2184	0.06043926722
2185	0.06042711795
2186	0.06041317054
2187	0.06040455187
2188	0.06038999989
2189	0.06037483337
2190	0.06035105363
2191	0.06032982467
2192	0.06031138328
2193	0.06030186697
2194	0.06029011942
2195	0.06028055243
2196	0.06027515214
2197	0.06026552702
2198	0.06025564455
2199	0.06024616763
2200	0.06024164165
2201	0.06023024016
2202	0.06020722877
2203	0.06020172977
2204	0.06018907136
2205	0.06018128502
2206	0.06016734178
2207	0.06016291075
2208	0.06014380875
2209	0.06013054846
2210	0.06012158224
2211	0.06011441343
2212	0.06009875793
2213	0.06008578229
2214	0.06006680708
2215	0.06005949297
2216	0.06004215973
2217	0.06002224023
2218	0.06001777958
2219	0.05999232098
2220	0.05998395844
2221	0.05995905562
2222	0.05993849702
2223	0.05992191225
2224	0.05990904628
2225	0.05989682281
2226	0.05988867238
2227	0.05987800027
2228	0.05986634326
2229	0.05985569189
2230	0.05985313522
2231	0.05984679936
2232	0.05983852687
2233	0.05983127596
2234	0.0598130475
2235	0.05980738349
2236	0.05979572365
2237	0.05978419602
2238	0.05977858853
2239	0.05976768543
2240	0.05975804422
2241	0.05972941839
2242	0.05970975892
2243	0.05968117426
2244	0.05966805097
2245	0.0596599404
2246	0.05965087567
2247	0.05963326143
2248	0.05961759587
2249	0.05960823157
2250	0.0595863719
2251	0.05957277702
2252	0.05954530981
2253	0.05953186881
2254	0.0595092963
2255	0.05948902982
2256	0.05947777203
2257	0.05945832105
2258	0.05945222637
2259	0.05943298423
2260	0.05942366988
2261	0.05940350026
2262	0.05937838826
2263	0.05935308461
2264	0.05934185618
2265	0.05930860353
2266	0.05930048342
2267	0.05929050897
2268	0.05926541013
2269	0.05925004946
2270	0.05922085501
2271	0.05919542327
2272	0.05917980432
2273	0.05917385248
2274	0.05914940038
2275	0.05914047124
2276	0.05912314812
2277	0.0591188657
2278	0.05908904507
2279	0.05907844053
2280	0.05905922827
2281	0.05904086599
2282	0.05901923525
2283	0.05900387262
2284	0.05899431245
2285	0.05896068597
2286	0.05895572515
2287	0.05894311474
2288	0.05892841587
2289	0.05891710174
2290	0.05890914095
2291	0.05888856501
2292	0.05887330541
2293	0.05886484415
2294	0.0588541662
2295	0.05884197921
2296	0.05883867178
2297	0.05883045993
2298	0.05882148396
2299	0.05881346261
2300	0.05880100316
2301	0.05877968886
2302	0.05875684286
2303	0.05875012511
2304	0.05873892883
2305	0.05873180778
2306	0.05871452448
2307	0.05869309953
2308	0.05868026578
2309	0.05866950827
2310	0.05865725462
2311	0.05863805594
2312	0.05862996303
2313	0.05861214061
2314	0.05859860664
2315	0.05858493397
2316	0.05857459785
2317	0.05857035439
2318	0.05856367278
2319	0.05855652514
2320	0.05854050392
2321	0.05852470458
2322	0.05850674103
2323	0.05849695756
2324	0.05847292146
2325	0.05845290344
2326	0.05844396191
2327	0.05843279859
2328	0.05841453506
2329	0.05839780881
2330	0.05838720066
2331	0.05836656376
2332	0.05834889085
2333	0.05834252555
2334	0.05832668163
2335	0.05831557173
2336	0.05829921945
2337	0.05829288553
2338	0.05827668308
2339	0.05825098605
2340	0.05824609196
2341	0.05822958481
2342	0.0582186211
2343	0.0582050823
2344	0.05818125201
2345	0.05817091719
2346	0.05815797858
2347	0.05814372116
2348	0.05813615135
2349	0.05811186077
2350	0.05809094883
2351	0.05808307142
2352	0.05806643917
2353	0.05806182316
2354	0.05804950511
2355	0.05804304894
2356	0.0580255515
2357	0.0579864595
2358	0.0579769776
2359	0.05797108738
2360	0.0579477247
2361	0.05792541964
2362	0.05791370162
2363	0.05789971888
2364	0.05788993946
2365	0.05788354015
2366	0.05786996596
2367	0.05785626187
2368	0.05784199785
2369	0.05782146922
2370	0.05781028832
2371	0.05780085052
2372	0.05777266342
2373	0.05776772861
2374	0.05774768821
2375	0.05774009889
2376	0.05773205217
2377	0.05771379577
2378	0.05770271216
2379	0.05769140574
2380	0.05768366106
2381	0.05767265801
2382	0.05765628599
2383	0.05764916275
2384	0.0576395809
2385	0.05761514411
2386	0.05760919501
2387	0.05759494822
2388	0.05758642974
2389	0.05756889853
2390	0.05755100068
2391	0.05753547072
2392	0.0575156159
2393	0.05750272049
2394	0.05749184652
2395	0.05748178896
2396	0.057464964
2397	0.0574530487
2398	0.05744172108
2399	0.05743358435
2400	0.05741135812
2401	0.05740367684
2402	0.05739417911
2403	0.05738628403
2404	0.05736547031
2405	0.05735975909
2406	0.05734587705
2407	0.05732660092
2408	0.0573088783
2409	0.05729634099
2410	0.05728849363
2411	0.05726823071
2412	0.05725292132
2413	0.0572496959
2414	0.05723242595
2415	0.05722096698
2416	0.05719855043
2417	0.05718450565
2418	0.05717484341
2419	0.05715121199
2420	0.05713694753
2421	0.05713018791
2422	0.05711982755
2423	0.05710830692
2424	0.05708999946
2425	0.05707908241
2426	0.05707182111
2427	0.05705818982
2428	0.05703811313
2429	0.05702075809
2430	0.05699661606
2431	0.05698205429
2432	0.05697437617
2433	0.05694803426
2434	0.05694075024
2435	0.0569264355
2436	0.05691250123
2437	0.05690571596
2438	0.05688635316
2439	0.05687480433
2440	0.0568645262
2441	0.05684603793
2442	0.05683482784
2443	0.05682062948
2444	0.05681133042
2445	0.05678991799
2446	0.05677259653
2447	0.0567657102
2448	0.05675305721
2449	0.05673998499
2450	0.05671128482
2451	0.05670179962
2452	0.05668664287
2453	0.05667545856
2454	0.05665380239
2455	0.05664416752
2456	0.05661516931
2457	0.0566003451
2458	0.05658711161
2459	0.05657702325
2460	0.05656618862
2461	0.05654184305
2462	0.05653339609
2463	0.05651806156
2464	0.05651420853
2465	0.05650252295
2466	0.05649165757
2467	0.05648645261
2468	0.05647607958
2469	0.05645507951
2470	0.05644010306
2471	0.0564198312
2472	0.05640809604
2473	0.05638622174
2474	0.05637099075
2475	0.05635766161
2476	0.05634662846
2477	0.05633855468
2478	0.05632448185
2479	0.05631130731
2480	0.0562964129
2481	0.0562847883
2482	0.05627764751
2483	0.05625815329
2484	0.05624218074
2485	0.05623506494
2486	0.05622239169
2487	0.056205723
2488	0.05619511681
2489	0.05618855301
2490	0.05618058245
2491	0.05617282704
2492	0.05614759404
2493	0.05613926417
2494	0.05612136336
2495	0.05611280085
2496	0.05609969239
2497	0.05608805213
2498	0.05606307215
2499	0.05605567339
2500	0.05605086343
2501	0.05603620784
2502	0.05601869401
2503	0.05600151715
2504	0.05598851891
2505	0.05597134655
2506	0.05595976539
2507	0.0559355455
2508	0.05592099102
2509	0.05589838824
2510	0.0558746403
2511	0.05586560566
2512	0.05585413145
2513	0.0558444271
2514	0.05582970604
2515	0.05581197697
2516	0.05579891496
2517	0.05577662418
2518	0.05577072747
2519	0.0557575704
2520	0.05574180181
2521	0.05573545653
2522	0.05572052001
2523	0.05570363013
2524	0.05568305069
2525	0.05567262264
2526	0.05566635215
2527	0.05564653787
2528	0.05562807855
2529	0.05560333952
2530	0.0555970668
2531	0.05558011345
2532	0.05556356214
2533	0.05555232046
2534	0.05552534002
2535	0.0555168013
2536	0.05550369511
2537	0.0554895278
2538	0.05546815385
2539	0.05545432614
2540	0.05544658824
2541	0.0554363572
2542	0.05541875325
2543	0.05540349761
2544	0.0553919461
2545	0.05537742916
2546	0.0553671516
2547	0.05534346605
2548	0.05532197343
2549	0.05530404852
2550	0.05529367004
2551	0.05528105844
2552	0.0552645677
2553	0.05524011342
2554	0.05522384987
2555	0.05520671083
2556	0.05519112119
2557	0.05518327788
2558	0.05517315699
2559	0.05516377022
2560	0.05515028969
2561	0.05514346499
2562	0.05513203029
2563	0.05511582038
2564	0.05510819577
2565	0.05509840869
2566	0.05507744957
2567	0.0550659793
2568	0.05505561429
2569	0.05504765513
2570	0.05503651709
2571	0.05502151478
2572	0.05501768229
2573	0.05500782708
2574	0.05499246177
2575	0.05497649644
2576	0.05496456093
2577	0.05494967435
2578	0.05493973477
2579	0.05492780854
2580	0.05490320794
2581	0.05489028216
2582	0.05488018939
2583	0.05486319205
2584	0.05485062497
2585	0.05484344502
2586	0.05483509782
2587	0.05481717814
2588	0.05480411892
2589	0.05480189559
2590	0.05479142566
2591	0.05478386919
2592	0.0547764958
2593	0.05476564614
2594	0.05475666611
2595	0.0547382098
2596	0.05471998057
2597	0.05470540116
2598	0.05469784914
2599	0.05468302394
2600	0.05465545448
2601	0.05463750099
2602	0.05462784658
2603	0.05461613783
2604	0.05460747002
2605	0.05458712068
2606	0.05457794778
2607	0.05456153679
2608	0.05454771119
2609	0.0545390716
2610	0.0545221554
2611	0.05450074219
2612	0.05449405076
2613	0.05448592577
2614	0.05447093465
2615	0.05446099999
2616	0.05444443518
2617	0.05442920002
2618	0.05440689553
2619	0.05439042
2620	0.05438190954
2621	0.05436480744
2622	0.05435092235
2623	0.0543468752
2624	0.05433811659
2625	0.05432725319
2626	0.05431988693
2627	0.05430025129
2628	0.05429272799
2629	0.0542780519
2630	0.05426497303
2631	0.05425550362
2632	0.05424506829
2633	0.05423392942
2634	0.05422764988
2635	0.05422578086
2636	0.05421088774
2637	0.0542012469
2638	0.0541872139
2639	0.05417446783
2640	0.05415219091
2641	0.05414266855
2642	0.05412946109
2643	0.05412306281
2644	0.05411272504
2645	0.05409898655
2646	0.05409088383
2647	0.05408049401
2648	0.0540720991
2649	0.05406262813
2650	0.05404673626
2651	0.05403210726
2652	0.0540216205
2653	0.05400546396
2654	0.05400037379
2655	0.05398380266
2656	0.05397151353
2657	0.0539584892
2658	0.05394445203
2659	0.05393620951
2660	0.05392858009
2661	0.05391431861
2662	0.0538948189
2663	0.05388085148
2664	0.05386633233
2665	0.05384973624
2666	0.05384173492
2667	0.05381889363
2668	0.05380539233
2669	0.05379501285
2670	0.05378881828
2671	0.05377160088
2672	0.05376251952
2673	0.05374432126
2674	0.05373351964
2675	0.05372965377
2676	0.0537187412
2677	0.05370890028
2678	0.05370176294
2679	0.05367991673
2680	0.0536755849
2681	0.05366259696
2682	0.05364677434
2683	0.05363961264
2684	0.05362868045
2685	0.05362198566
2686	0.05361425346
2687	0.05359798121
2688	0.05358216387
2689	0.05357549101
2690	0.05357018956
